"","stationName","latitude","longitude","stAddress1"
"75","3 Ave & Schermerhorn St","40.68683208","-73.9796772","3 Ave & Schermerhorn St"
"76","E 2 St & Avenue B","40.72217444","-73.98368779","E 2 St & Avenue B"
"77","Avenue D & E 3 St","40.72082834","-73.97793172","Avenue D & E 3 St"
"78","Mercer St & Spring St","40.72362738","-73.99949601","Mercer St & Spring St"
"79","Broadway & Battery Pl","40.70463334","-74.01361706","Broadway & Battery Pl"
"80","E 58 St & 3 Ave","40.76095756","-73.96724467","E 58 St & 3 Ave"
"81","Canal St & Rutgers St","40.71427487","-73.98990025","Canal St & Rutgers St"
"82","St James Pl & Oliver St","40.71307916","-73.99851193","St James Pl & Oliver St"
"83","Murray St & West St","40.7149787","-74.013012","Murray St & West St"
"84","State St & Smith St","40.68926942","-73.98912867","State St & Smith St"
"85","Norfolk St & Broome St","40.7172274","-73.98802084","Norfolk St & Broome St"
"86","Allen St & Stanton St","40.722055","-73.989111","Allen St & Stanton St"
"87","Washington Ave & Park Ave","40.69610226","-73.96751037","Washington Ave & Park Ave"
"88","Cadman Plaza West & Montague St","40.69383","-73.990539","Cadman Plaza West & Montague St"
"89","South St & Gouverneur Ln","40.70355377","-74.00670227","South St & Gouverneur Ln"
"90","Fulton St & William St","40.70955958","-74.00653609","Fulton St & William St"
"91","E 6 St & Avenue B","40.72453734","-73.98185424","E 6 St & Avenue B"
"92","Fulton St & Broadway","40.711066","-74.009447","Fulton St & Broadway"
"93","Leonard St & Church St","40.717571","-74.005549","Leonard St & Church St"
"94","Cadman Plaza E & Red Cross Pl","40.69991755","-73.98971773","Cadman Plaza E & Red Cross Pl"
"95","Clinton St & Tillary St","40.696192","-73.991218","Clinton St & Tillary St"
"96","Lawrence St & Willoughby St","40.69236178","-73.98631746","Lawrence St & Willoughby St"
"97","DeKalb Ave & Hudson Ave","40.689888","-73.981013","DeKalb Ave & Hudson Ave"
"98","E 19 St & 3 Ave","40.73624527","-73.98473765","E 19 St & 3 Ave"
"99","E 11 St & 1 Ave","40.72953837","-73.98426726","E 11 St & 1 Ave"
"100","Vesey Pl & River Terrace","40.7153379","-74.01658354","Vesey Pl & River Terrace"
"101","Watts St & Greenwich St","40.72405549","-74.00965965","Watts St & Greenwich St"
"102","Reade St & Broadway","40.71450451","-74.00562789","Reade St & Broadway"
"103","Pike St & Monroe St","40.71173107","-73.99193043","Pike St & Monroe St"
"104","Cherry St","40.71219906","-73.97948148","Cherry St"
"105","W 20 St & 7 Ave","40.74238787","-73.99726235","W 20 St & 7 Ave"
"106","Washington Pl & Broadway","40.72903917","-73.99404649","Washington Pl & Broadway"
"107","Sullivan St & Washington Sq","40.73047747","-73.99906065","Sullivan St & Washington Sq"
"108","Old Slip & Front St","40.7037992","-74.00838676","Old Slip & Front St"
"109","Avenue D & E 12 St","40.72580614","-73.97422494","Avenue D & E 12 St"
"110","Madison St & Clinton St","40.71269042","-73.98776323","Madison St & Clinton St"
"111","Stanton St & Mangin St","40.71782143","-73.97628939","Stanton St & Mangin St"
"112","Columbia St & Rivington St","40.71739973","-73.98016555","Columbia St & Rivington St"
"113","Clinton Ave & Flushing Ave","40.69794","-73.96986848","Clinton Ave & Flushing Ave"
"114","Monroe St & Bedford Ave","40.6851443","-73.95380904","Monroe St & Bedford Ave"
"115","Bank St & Hudson St","40.73652889","-74.00618026","Bank St & Hudson St"
"116","Greenwich St & W Houston St","40.728846","-74.008591","Greenwich St & W Houston St"
"117","Rivington St & Ridge St","40.71850211","-73.98329859","Rivington St & Ridge St"
"118","Clinton St & Grand St","40.71559509","-73.9870295","Clinton St & Grand St"
"119","Front St & Maiden Ln","40.70530954","-74.00612572","Front St & Maiden Ln"
"120","S Portland Ave & Hanson Pl","40.68539567","-73.97431458","S Portland Ave & Hanson Pl"
"121","Emerson Pl & Myrtle Ave","40.69363137","-73.96223558","Emerson Pl & Myrtle Ave"
"122","Bayard St & Baxter St","40.71602118","-73.99974372","Bayard St & Baxter St"
"123","Bialystoker Pl & Delancey St","40.71622644","-73.98261206","Bialystoker Pl & Delancey St"
"124","E 11 St & Broadway","40.73261787","-73.99158043","E 11 St & Broadway"
