"","name","Measure","geo_type_name","geo_entity_id","geo_entity_name","year_description","data_value"
"47","Fine Particulate Matter (PM2.5)","Mean","CD",405,"Ridgewood and Maspeth (CD5)","Annual Average 2016",7.97
"48","Fine Particulate Matter (PM2.5)","Mean","CD",406,"Rego Park and Forest Hills (CD6)","Annual Average 2016",7.5
"49","Fine Particulate Matter (PM2.5)","Mean","CD",407,"Flushing and Whitestone (CD7)","Annual Average 2016",7.26
"50","Fine Particulate Matter (PM2.5)","Mean","CD",408,"Hillcrest and Fresh Meadows (CD8)","Annual Average 2016",7.01
"51","Fine Particulate Matter (PM2.5)","Mean","CD",409,"Kew Gardens and Woodhaven (CD9)","Annual Average 2016",7.29
"52","Fine Particulate Matter (PM2.5)","Mean","CD",410,"South Ozone Park and Howard Beach (CD10)","Annual Average 2016",6.85
"53","Fine Particulate Matter (PM2.5)","Mean","CD",411,"Bayside and Little Neck (CD11)","Annual Average 2016",6.87
"54","Fine Particulate Matter (PM2.5)","Mean","CD",412,"Jamaica and Hollis (CD12)","Annual Average 2016",6.98
"55","Fine Particulate Matter (PM2.5)","Mean","CD",413,"Queens Village (CD13)","Annual Average 2016",6.53
"56","Fine Particulate Matter (PM2.5)","Mean","CD",414,"Rockaway and Broad Channel (CD14)","Annual Average 2016",5.98
"57","Fine Particulate Matter (PM2.5)","Mean","CD",501,"St. George and Stapleton (CD1)","Annual Average 2016",7.11
"58","Fine Particulate Matter (PM2.5)","Mean","CD",502,"South Beach and Willowbrook (CD2)","Annual Average 2016",6.89
"59","Fine Particulate Matter (PM2.5)","Mean","CD",503,"Tottenville and Great Kills (CD3)","Annual Average 2016",6.62
"60","Black Carbon","Mean","CD",101,"Financial District (CD1)","Annual Average 2016",1.15
"61","Black Carbon","Mean","CD",102,"Greenwich Village and Soho (CD2)","Annual Average 2016",1.53
"62","Black Carbon","Mean","CD",103,"Lower East Side and Chinatown (CD3)","Annual Average 2016",1.29
"63","Black Carbon","Mean","CD",104,"Clinton and Chelsea (CD4)","Annual Average 2016",1.39
"64","Black Carbon","Mean","CD",105,"Midtown (CD5)","Annual Average 2016",1.61
"65","Black Carbon","Mean","CD",106,"Stuyvesant Town and Turtle Bay (CD6)","Annual Average 2016",1.37
"66","Black Carbon","Mean","CD",107,"Upper West Side (CD7)","Annual Average 2016",1.14
"67","Black Carbon","Mean","CD",108,"Upper East Side (CD8)","Annual Average 2016",1.33
"68","Black Carbon","Mean","CD",109,"Morningside Heights and Hamilton Heights (CD9)","Annual Average 2016",1.03
